algo, mean_error, std_error, mean_time, std_time
autoPrice30, 0.163588, 0.057732, 6.461649, 0.045110
boston30, 0.157670, 0.020530, 7.773845, 0.133393
diabetes20, 0.145933, 0.021338, 7.055765, 0.359167
strikes30, 0.186927, 0.089698, 10.616259, 0.145918
