algo, mean_error, std_error, mean_time, std_time
autoPrice30, 0.006272, 0.006483, 0.000515, 0.000040
boston30, 0.019969, 0.011334, 0.000783, 0.000371
diabetes20, 0.018843, 0.016541, 0.059415, 0.039272
strikes30, 0.008594, 0.006355, 0.007445, 0.004899
