algo, mean_error, std_error, mean_time, std_time
autoPrice30, 0.044097, 0.017521, 9.309763, 0.146655
boston30, 0.044850, 0.009011, 10.680124, 0.131787
diabetes20, 0.085276, 0.013593, 7.413274, 0.081921
strikes30, 0.102833, 0.044387, 11.112021, 0.059141
