algo, mean_error, std_error, mean_time, std_time
house8, 0.065124, 0.029673, 0.840166, 0.775042
house16, 0.065357, 0.037722, 0.915128, 1.033043
mtp230, 0.004274, 0.003958, 0.046194, 0.027081
mtp260, 0.006977, 0.005432, 5.877767, 8.640102
wisconsin20, 0.048319, 0.023422, 0.309632, 0.668562
