algo, mean_error, std_error, mean_time, std_time
, 0.136484, 0.019616, 12.928009, 0.189869
, 0.218792, 0.035220, 13.077700, 0.155750
mtp230, 0.589869, 0.015161, 128.167539, 2.046514
mtp260, 0.670830, 0.015404, 155.165447, 3.822125
wisconsin20, 0.287157, 0.027366, 7.888240, 0.193692
