algo, mean_error, std_error, mean_time, std_time
basic-0.000000-0,,,,
basic-0.050000-0, 0.033096, 0.012011, 124.789770, 38.641322
random-0.000000-1000000, 0.097267, 0.014661, 33.255218, 0.258739
gena-0.000000-1000, 0.219549, 0.024624, 48.998768, 1.108479
heuristic-0.000000-0,,,,
heuristic-0.050000-0, 0.020119, 0.012703, 36.707135, 39.664431
heuristic-0.150000-0, 0.037142, 0.021413, 11.029933, 9.846408
