algo, mean_error, std_error, mean_time, std_time
basic-0.000000-0, 0.000000, 0.000000, 3.078216, 3.647994
basic-0.050000-0, 0.022640, 0.012838, 0.738836, 0.633924
random-0.000000-1000000, 0.143157, 0.023289, 13.768950, 0.223564
gena-0.000000-1000,,,,
heuristic-0.000000-0, 0.000000, 0.000000, 38.716814, 48.040158
heuristic-0.050000-0, 0.028914, 0.016315, 26.342292, 31.020186
heuristic-0.150000-0, 0.057179, 0.027720, 14.402065, 17.024154
