algo, mean_error, std_error, mean_time, std_time
basic-0.000000-0,,,,
basic-0.050000-0,,,,
random-0.000000-1000000, 0.066033, 0.008009, 43.166399, 0.717751
random-0.000000-10000, 0.149014, 0.010941, 0.439289, 0.009923
gena-0.000000-1000, 0.184047, 0.023775, 15.929969, 0.181727
gena-0.000000-100, 0.221804, 0.030265, 4.133415, 0.031630
heuristic-0.000000-0, 0.000000, 0.000000, 0.642069, 0.723554
heuristic-0.050000-0, 0.017051, 0.008302, 0.018863, 0.016341
heuristic-0.150000-0, 0.019905, 0.009886, 0.003682, 0.002504
