algo, mean_error, std_error, mean_time, std_time
basic-0.000000-0, 0.000000, 0.000000, 57.949827, 62.420894
basic-0.050000-0, 0.029778, 0.016847, 11.987396, 16.839067
random-0.000000-1000000, 0.044097, 0.017521, 9.309763, 0.146655
random-0.000000-10000, 0.090828, 0.022017, 0.092466, 0.001742
gena-0.000000-1000, 0.163588, 0.057732, 6.461649, 0.045110
gena-0.000000-100, 0.274097, 0.048309, 0.717773, 0.007594
heuristic-0.000000-0, 0.000000, 0.000000, 0.012157, 0.020516
heuristic-0.050000-0, 0.006272, 0.006483, 0.000515, 0.000040
heuristic-0.150000-0, 0.006272, 0.006483, 0.000573, 0.000088
