algo, mean_error, std_error, mean_time, std_time
basic-0.000000-0,,,,
basic-0.050000-0,,,,
random-0.000000-1000000, 0.287157, 0.027366, 7.888240, 0.193692
random-0.000000-10000, 0.395091, 0.039661, 0.077810, 0.001179
gena-0.000000-1000, 0.315889, 0.038392, 5.001373, 0.041274
gena-0.000000-100, 0.408431, 0.040680, 0.533669, 0.006402
heuristic-0.000000-0, 0.000000, 0.000000, 2.282977, 4.355726
heuristic-0.050000-0, 0.026344, 0.012892, 0.840396, 1.793546
heuristic-0.150000-0, 0.048319, 0.023422, 0.309632, 0.668562
