algo, mean_error, std_error, mean_time, std_time
basic-0.000000-0,,,,
basic-0.050000-0, 0.034991, 0.008391, 94.097831, 35.822895
random-0.000000-1000000, 0.098111, 0.011550, 20.342449, 0.943530
random-0.000000-10000, 0.156281, 0.011927, 0.198059, 0.002515
gena-0.000000-1000, 0.153562, 0.013418, 10.301802, 0.083907
gena-0.000000-100, 0.190548, 0.024161, 1.826686, 0.022272
heuristic-0.000000-0, 0.000000, 0.000000, 24.908239, 16.309070
heuristic-0.050000-0, 0.020203, 0.013642, 4.316425, 1.896434
heuristic-0.150000-0, 0.046112, 0.019436, 0.664348, 0.361706
