algo, mean_error, std_error, mean_time, std_time
basic-0.000000-0, 0.000000, 0.000000, 0.925377, 0.526726
basic-0.050000-0, 0.026276, 0.013840, 0.565994, 0.296505
random-0.000000-1000000, 0.093267, 0.033294, 46.331021, 0.241567
random-0.000000-10000, 0.158592, 0.066292, 0.458000, 0.003729
gena-0.000000-1000, 0.160181, 0.054168, 38.128002, 0.337544
gena-0.000000-100, 0.221656, 0.072223, 15.303290, 0.086636
heuristic-0.000000-0, 0.000000, 0.000000, 0.139598, 0.153666
heuristic-0.050000-0, 0.006459, 0.008667, 0.102903, 0.106541
heuristic-0.150000-0, 0.008518, 0.014495, 0.069587, 0.072212
