algo, mean_error, std_error, mean_time, std_time
basic-0.000000-0, 0.000000, 0.000000, 3.227089, 1.123122
basic-0.050000-0, 0.025113, 0.015188, 1.244865, 0.491404
random-0.000000-1000000, 0.085276, 0.013593, 7.413274, 0.081921
random-0.000000-10000, 0.136506, 0.018893, 0.074559, 0.002292
gena-0.000000-1000, 0.145933, 0.021338, 7.055765, 0.359167
gena-0.000000-100, 0.193849, 0.046938, 0.850044, 0.022937
heuristic-0.000000-0, 0.000000, 0.000000, 0.149105, 0.099997
heuristic-0.050000-0, 0.018843, 0.016541, 0.059415, 0.039272
heuristic-0.150000-0, 0.046883, 0.026328, 0.017143, 0.011452
