algo, mean_error, std_error, mean_time, std_time
basic-0.000000-0, 0.000000, 0.000000, 32.381363, 50.757144
basic-0.050000-0, 0.026861, 0.016107, 18.329851, 31.700452
random-0.000000-1000000, 0.218792, 0.035220, 13.077700, 0.155750
gena-0.000000-1000, 0.276765, 0.053217, 11.585272, 0.399478
heuristic-0.000000-0, 0.000000, 0.000000, 9.148865, 10.693956
heuristic-0.050000-0, 0.030596, 0.009670, 2.855851, 3.724846
heuristic-0.150000-0, 0.065357, 0.037722, 0.915128, 1.033043
