algo, mean_error, std_error, mean_time, std_time
basic-0.000000-0, 0.000000, 0.000000, 20.357492, 16.262247
basic-0.050000-0, 0.024693, 0.017032, 3.316815, 1.920941
random-0.000000-1000000, 0.044850, 0.009011, 10.680124, 0.131787
random-0.000000-10000, 0.123327, 0.024359, 0.106572, 0.002127
gena-0.000000-1000, 0.157670, 0.020530, 7.773845, 0.133393
gena-0.000000-100, 0.198340, 0.026994, 0.965886, 0.010872
heuristic-0.000000-0, 0.000000, 0.000000, 0.003807, 0.004871
heuristic-0.050000-0, 0.019969, 0.011334, 0.000783, 0.000371
heuristic-0.150000-0, 0.021261, 0.011709, 0.000635, 0.000109
