normal, Desicion Tree, 1.00, iris, 0.320000, 0.232475
normal, Desicion Tree, 0.80, iris, 0.065333, 0.002667
normal, Desicion Tree, 0.50, iris, 0.066667, 0.000000
normal, Desicion Tree, 0.20, iris, 0.056000, 0.010832
