25, Desicion Tree, 1.00, iris, 0.626667, 0.080000
50, Desicion Tree, 1.00, iris, 0.320000, 0.232475
100, Desicion Tree, 1.00, iris, 0.261333, 0.257282
250, Desicion Tree, 1.00, iris, 0.117333, 0.174794
