25, Desicion Tree, 1.00, gina-agnostic, 0.233387, 0.017828
50, Desicion Tree, 1.00, gina-agnostic, 0.213259, 0.017642
100, Desicion Tree, 1.00, gina-agnostic, 0.170986, 0.018245
250, Desicion Tree, 1.00, gina-agnostic, 0.130793, 0.004045
