normal, Desicion Tree, 1.00, gina-agnostic, 0.239618, 0.027454
normal, Desicion Tree, 0.80, gina-agnostic, 0.219604, 0.028847
normal, Desicion Tree, 0.50, gina-agnostic, 0.210666, 0.030360
