normal, Desicion Tree, 1.00, iris, 0.133333, 0.104222
normal, Desicion Tree, 0.80, iris, 0.061333, 0.002667
normal, Desicion Tree, 0.50, iris, 0.066667, 0.000000
normal, Desicion Tree, 0.20, iris, 0.056000, 0.010832
