normal, Desicion Tree, 1.00, letter, 0.377754, 0.045392
normal, Desicion Tree, 0.80, letter, 0.381183, 0.052064
normal, Desicion Tree, 0.50, letter, 0.300743, 0.044700
normal, Desicion Tree, 0.20, letter, 0.331104, 0.056750
