normal, Desicion Tree, 1.00, letter, 0.377415, 0.043009, 1.000000
normal, Desicion Tree, 1.00, letter, 0.400331, 0.097188, 0.800000
normal, Desicion Tree, 1.00, letter, 0.541570, 0.082588, 0.500000
normal, Desicion Tree, 1.00, letter, 0.791548, 0.099993, 0.200000
