normal, Desicion Tree, 1.00, letter, 0.710431, 0.125075
normal, Desicion Tree, 0.80, letter, 0.745789, 0.104285
normal, Desicion Tree, 0.50, letter, 0.600935, 0.130915
normal, Desicion Tree, 0.20, letter, 0.420277, 0.042369
