normal, Desicion Tree, 1.00, gina-agnostic, 0.166199, 0.012993
normal, Desicion Tree, 0.80, gina-agnostic, 0.148094, 0.020792
normal, Desicion Tree, 0.50, gina-agnostic, 0.130220, 0.006985
normal, Desicion Tree, 0.20, gina-agnostic, 0.152304, 0.025233
