normal, Desicion Tree, 1.00, letter, 0.804376, 0.083869
normal, Desicion Tree, 0.80, letter, 0.775044, 0.077023
normal, Desicion Tree, 0.50, letter, 0.721928, 0.105201
normal, Desicion Tree, 0.20, letter, 0.670971, 0.104400
