25, Desicion Tree, 1.00, letter, 0.792339, 0.119979
50, Desicion Tree, 1.00, letter, 0.710431, 0.125075
100, Desicion Tree, 1.00, letter, 0.547876, 0.162607
250, Desicion Tree, 1.00, letter, 0.342654, 0.058892
