normal, Desicion Tree, 1.00, iris, 0.238667, 0.238007, 1.000000
normal, Desicion Tree, 1.00, iris, 0.238667, 0.238007, 0.800000
normal, Desicion Tree, 1.00, iris, 0.238667, 0.238007, 0.500000
normal, Desicion Tree, 1.00, iris, 0.238667, 0.238007, 0.200000
