normal, Desicion Tree, 1.00, iris, 0.238667, 0.238007
normal, Desicion Tree, 0.80, iris, 0.225333, 0.132289
normal, Desicion Tree, 0.50, iris, 0.058667, 0.009798
normal, Desicion Tree, 0.20, iris, 0.060000, 0.000000
