normal, Desicion Tree, 1.00, gina-agnostic, 0.213259, 0.017642, 1.000000
normal, Desicion Tree, 1.00, gina-agnostic, 0.213259, 0.017642, 0.800000
normal, Desicion Tree, 1.00, gina-agnostic, 0.213259, 0.017642, 0.500000
normal, Desicion Tree, 1.00, gina-agnostic, 0.213259, 0.017642, 0.200000
