normal, Desicion Tree, 1.00, gina-agnostic, 0.213259, 0.017642
normal, Desicion Tree, 0.80, gina-agnostic, 0.199822, 0.019073
normal, Desicion Tree, 0.50, gina-agnostic, 0.187080, 0.009022
normal, Desicion Tree, 0.20, gina-agnostic, 0.141056, 0.011695
