algo, mean_error, std_error, mean_time, std_time
autoPrice30, 0.288190, 0.019125, 0.757330, 0.024457
boston100, 0.208970, 0.015351, 4.215159, 0.011987
boston30, 0.196742, 0.036049, 1.023616, 0.025356
diabetes20, 0.249913, 0.023674, 0.876239, 0.012117
diabetes50, 0.197581, 0.025391, 1.921933, 0.018313
strikes100, 0.205658, 0.026055, 17.591328, 0.047925
strikes30, 0.124980, 0.023503, 2.422474, 0.035328
wisconsin30, 0.491889, 0.020457, 0.642947, 0.009245
