algo, mean_error, std_error, mean_time, std_time
autoPrice30, 0.006581, 0.007205, 0.000550, 0.000086
boston100, 0.025951, 0.005768, 0.024146, 0.018397
boston30, 0.018476, 0.007887, 0.001196, 0.000734
diabetes20, 0.020133, 0.015477, 0.046419, 0.019903
diabetes50, 0.018965, 0.013318, 5.077296, 3.105645
strikes100, 0.004004, 0.004284, 0.066882, 0.051437
strikes30, 0.006521, 0.001785, 0.009927, 0.004845
wisconsin30,,,,
