algo, mean_error, std_error, mean_time, std_time
autoPrice30, 0.105387, 0.014952, 0.094198, 0.000832
boston100, 0.144370, 0.013993, 0.435642, 0.007662
boston30, 0.138986, 0.021963, 0.112269, 0.003706
diabetes20, 0.135398, 0.020889, 0.079257, 0.001051
diabetes50, 0.159394, 0.015988, 0.205901, 0.001682
strikes100, 0.183413, 0.039411, 0.557513, 0.008949
strikes30, 0.126005, 0.047005, 0.137875, 0.012057
wisconsin30, 0.439852, 0.026169, 0.124158, 0.004682
