algo, mean_error, std_error, mean_time, std_time
boston100, 0.066033, 0.008009, 43.166399, 0.717751
diabetes50, 0.098111, 0.011550, 20.342449, 0.943530
strikes100, 0.093267, 0.033294, 46.331021, 0.241567
