algo, mean_error, std_error, mean_time, std_time
heuristic-0.000000-0, 0.000000, 0.000000, 28.900321, 58.230404
heuristic-0.010000-0, 0.004949, 0.003533, 22.038679, 48.586771
heuristic-0.020000-0, 0.007026, 0.005917, 18.258196, 41.997608
heuristic-0.030000-0, 0.007769, 0.010266, 15.314830, 35.229634
heuristic-0.040000-0, 0.019688, 0.013171, 12.641644, 29.202834
heuristic-0.050000-0, 0.023727, 0.015325, 11.780290, 27.453229
heuristic-0.060000-0, 0.032692, 0.012934, 9.711395, 22.801615
heuristic-0.070000-0, 0.033534, 0.021206, 8.463587, 19.312721
heuristic-0.080000-0, 0.031260, 0.023827, 7.561578, 16.933019
heuristic-0.090000-0, 0.052230, 0.022649, 6.505282, 14.301141
heuristic-0.100000-0, 0.036103, 0.033335, 6.153844, 13.518981
heuristic-0.110000-0, 0.044344, 0.029260, 5.549469, 12.112158
heuristic-0.120000-0, 0.071108, 0.030629, 4.781937, 9.965654
heuristic-0.130000-0, 0.060828, 0.034054, 4.046413, 8.305455
heuristic-0.140000-0, 0.072080, 0.030722, 4.167498, 8.953096
heuristic-0.150000-0, 0.060067, 0.029708, 3.843839, 8.008741
heuristic-0.160000-0, 0.064269, 0.031508, 3.235582, 6.268643
heuristic-0.170000-0, 0.063456, 0.040454, 2.849999, 4.981936
heuristic-0.180000-0, 0.070922, 0.051135, 3.588241, 7.406147
heuristic-0.190000-0, 0.100384, 0.049795, 2.524145, 4.315890
heuristic-0.200000-0, 0.107365, 0.047972, 2.481304, 4.183515
heuristic-0.210000-0, 0.127510, 0.033522, 2.391652, 3.832815
heuristic-0.220000-0, 0.127311, 0.029188, 2.682999, 4.805412
heuristic-0.230000-0, 0.129830, 0.028872, 2.641804, 4.097932
heuristic-0.240000-0, 0.103806, 0.041017, 3.136174, 5.652345
